cenario;tabela;hash;probe;M;N;seed;tempoIns(ns);tempoBus(ns);colisIns;colisBus;rehashCount;top1;top2;top3;gapMin;gapMax;gapMean;gapCount
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;100000;42;5760400;4579000;50019;50019;0;8;8;7;0;10;0.5808;63258
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;100000;4242;3324900;1333100;50318;50318;0;7;7;7;0;12;0.5843;63117
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;100000;424242;2671400;1533800;50027;50027;0;8;7;7;0;10;0.5851;63084
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;1000000;42;224912300;177335900;5001241;5001241;0;26;25;25;0;1;0.0001;99991
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;1000000;4242;219928100;117941200;4997679;4997679;0;25;25;25;0;1;0.0000;99995
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;1000000;424242;177835800;120591300;4998285;4998285;0;25;25;25;0;1;0.0000;99995
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;10000000;42;55352573200;54565160300;499950890;499950890;0;145;145;144;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;10000000;4242;52359592700;50528952800;499972599;499972599;0;147;145;143;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;10000000;424242;50945289200;50341157500;499926193;499926193;0;144;143;143;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;100000;42;6208800;4165000;50230;50230;0;8;7;7;0;11;0.5823;63197
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;100000;4242;3247200;3137700;49862;49862;0;7;7;7;0;9;0.5808;63259
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;100000;424242;3219100;3107900;50091;50091;0;8;7;7;0;11;0.5825;63192
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;1000000;42;263297300;133899500;4996827;4996827;0;25;24;24;0;1;0.0001;99991
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;1000000;4242;126766500;106000000;5001923;5001923;0;25;25;25;0;1;0.0001;99994
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;1000000;424242;164403100;122604900;4997866;4997866;0;27;25;24;0;1;0.0001;99992
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;10000000;42;51091438600;51117891100;499963371;499963371;0;145;143;141;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;10000000;4242;40713137000;40167961200;499937913;499937913;0;145;144;144;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;10000000;424242;27875214800;21401550500;499959471;499959471;0;145;143;142;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;100000;42;6202400;2797700;49972;49972;0;7;7;7;0;11;0.5816;63224
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;100000;4242;2107300;2408800;49892;49892;0;8;8;7;0;14;0.5812;63241
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;100000;424242;2209400;2467500;49914;49914;0;8;8;8;0;14;0.5810;63250
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;1000000;42;206464900;126056600;5000271;5000271;0;28;25;25;0;2;0.0001;99994
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;1000000;4242;136714500;148071800;5002587;5002587;0;26;26;25;0;1;0.0001;99993
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;1000000;424242;139938200;124802000;5001774;5001774;0;30;29;25;0;1;0.0000;99997
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;10000000;42;44307785600;44057769000;499984354;499984354;0;146;143;141;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;10000000;4242;26394318300;16238295000;499972259;499972259;0;145;143;142;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;10000000;424242;26729233400;17763269100;499986721;499986721;0;145;144;144;0;0;0.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;200001;100000;42;13365900;2148700;180329;49205;1;0;0;0;0;22;0.9999;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;200001;100000;4242;1400800;1101700;50658;50658;0;0;0;0;0;27;1.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;200001;100000;424242;1356800;1316700;49596;49596;0;0;0;0;0;22;1.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1600015;1000000;42;56606900;19772700;2674874;829744;3;0;0;0;0;19;0.6000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1600015;1000000;4242;23578900;16167700;832072;832072;0;0;0;0;0;21;0.6000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1600015;1000000;424242;25782800;17488000;835726;835726;0;0;0;0;0;26;0.6000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;12800127;10000000;42;658331400;424229100;32504373;17639573;3;0;0;0;0;19;0.2800;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;12800127;10000000;4242;481603800;427780300;17563326;17563326;0;0;0;0;0;24;0.2800;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;12800127;10000000;424242;476419600;432845700;17627890;17627890;0;0;0;0;0;21;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;200001;100000;42;9997900;7373600;190811;50895;1;0;0;0;0;24;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;200001;100000;4242;2951300;2555300;49627;49627;0;0;0;0;0;18;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;200001;100000;424242;2868000;2455100;50383;50383;0;0;0;0;0;23;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1600015;1000000;42;67572800;43286900;2690080;832628;3;0;0;0;0;19;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1600015;1000000;4242;45979700;35757100;833000;833000;0;0;0;0;0;22;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1600015;1000000;424242;49402700;18276700;828271;828271;0;0;0;0;0;21;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;12800127;10000000;42;734558500;503853000;32662593;17851703;3;0;0;0;0;21;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;12800127;10000000;4242;532899800;507512800;17806669;17806669;0;0;0;0;0;21;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;12800127;10000000;424242;521974000;508434900;17824976;17824976;0;0;0;0;0;20;0.2800;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;200001;100000;42;7429500;3639700;180989;50047;1;0;0;0;0;24;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;200001;100000;4242;3951300;3403200;50310;50310;0;0;0;0;0;27;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;200001;100000;424242;3705000;2926800;50150;50150;0;0;0;0;0;23;1.0000;99999
